"county"	"total"	"thai_num"	"thai_per"	"thai_vwell"	"thai_vwell_per"	"thai_less"	"thai_less_per"	"engagement"	"environment"	"health"	"housing"	"neighborhood"	"opportunity"	"transportation"
"LaPorte County, Indiana"	587	9	0.0153321976149915	0	0	0	0	44	39	36	59	50	58	67
"Lawrence County, Indiana"	270	0	0	0	NA	0	NA	51	57	33	52	40	45	43
"Madison County, Indiana"	559	7	0.0125223613595707	0	0	0	0	50	74	28	56	42	64	45
"Marion County, Indiana"	20765	536	0.025812665542981	89	0.166044776119403	46	0.0858208955223881	40	60	45	62	49	57	52
"Marshall County, Indiana"	262	0	0	0	NA	0	NA	49	61	43	52	45	61	40
"Martin County, Indiana"	62	0	0	0	NA	0	NA	38	33	41	57	36	46	43
"Miami County, Indiana"	66	12	0.181818181818182	12	1	0	0	50	55	25	54	40	48	56
"Monroe County, Indiana"	8404	68	0.00809138505473584	39	0.573529411764706	29	0.426470588235294	49	80	56	59	45	40	68
"Montgomery County, Indiana"	168	0	0	0	NA	0	NA	51	57	32	57	38	69	43
"Morgan County, Indiana"	426	0	0	0	NA	0	NA	25	42	31	52	43	75	38
"Newton County, Indiana"	35	10	0.285714285714286	0	0	0	0	30	61	23	45	35	58	27
"Noble County, Indiana"	277	0	0	0	NA	0	NA	39	53	32	55	45	65	43
"Ohio County, Indiana"	0	0	NA	0	NA	0	NA	58	61	35	59	45	82	40
"Orange County, Indiana"	23	0	0	0	NA	0	NA	47	61	34	57	44	67	41
"Owen County, Indiana"	81	0	0	0	NA	0	NA	35	62	30	51	41	63	40
"Parke County, Indiana"	15	8	0.533333333333333	0	0	0	0	43	49	32	50	36	42	37
"Perry County, Indiana"	55	0	0	0	NA	0	NA	48	66	28	62	40	59	47
"Pike County, Indiana"	29	0	0	0	NA	0	NA	37	54	34	56	43	62	44
"Porter County, Indiana"	2352	14	0.00595238095238095	12	0.857142857142857	14	1	43	63	43	34	48	72	35
"Posey County, Indiana"	66	6	0.0909090909090909	0	0	0	0	37	70	34	49	38	57	58
"Pulaski County, Indiana"	51	0	0	0	NA	0	NA	50	62	33	44	35	65	41
"Putnam County, Indiana"	394	0	0	0	NA	0	NA	26	45	30	50	42	76	42
"Randolph County, Indiana"	9	0	0	0	NA	0	NA	56	60	29	54	39	44	41
"Ripley County, Indiana"	229	0	0	0	NA	0	NA	50	44	41	46	38	71	42
"Rush County, Indiana"	27	0	0	0	NA	0	NA	39	62	35	54	34	59	40
"St. Joseph County, Indiana"	5152	82	0.015916149068323	46	0.560975609756098	36	0.439024390243902	48	49	50	56	45	50	47
"Scott County, Indiana"	17	0	0	0	NA	0	NA	46	34	27	56	39	63	38
"Shelby County, Indiana"	299	0	0	0	NA	0	NA	30	59	39	57	42	81	43
"Spencer County, Indiana"	108	2	0.0185185185185185	0	0	0	0	57	79	42	53	44	62	34
"Starke County, Indiana"	96	0	0	0	NA	0	NA	38	59	25	47	35	39	38
"Steuben County, Indiana"	485	0	0	0	NA	0	NA	44	53	37	52	36	66	39
"Sullivan County, Indiana"	25	0	0	0	NA	0	NA	34	59	31	59	41	53	39
"Switzerland County, Indiana"	15	0	0	0	NA	0	NA	44	61	26	49	36	42	37
"Tippecanoe County, Indiana"	12244	117	0.00955570075138843	39	0.333333333333333	72	0.615384615384615	47	60	54	54	50	48	73
"Tipton County, Indiana"	14	0	0	0	NA	0	NA	62	62	38	45	44	67	61
"Union County, Indiana"	52	0	0	0	NA	0	NA	57	60	30	58	48	71	42
"Vanderburgh County, Indiana"	1845	16	0.00867208672086721	16	1	0	0	63	63	35	62	47	68	65
"Vermillion County, Indiana"	41	1	0.024390243902439	0	0	1	1	31	46	31	56	39	46	40
"Vigo County, Indiana"	2065	77	0.0372881355932203	53	0.688311688311688	24	0.311688311688312	50	38	40	58	39	60	61
"Wabash County, Indiana"	122	40	0.327868852459016	20	0.5	20	0.5	55	70	36	59	45	69	44
"Warren County, Indiana"	13	0	0	0	NA	0	NA	33	62	27	46	42	51	32
"Warrick County, Indiana"	1060	5	0.00471698113207547	3	0.6	2	0.4	41	66	41	49	46	48	59
"Washington County, Indiana"	35	0	0	0	NA	0	NA	34	82	32	51	41	73	39
"Wayne County, Indiana"	681	5	0.00734214390602056	25	5	5	1	64	66	32	59	43	54	52
"Wells County, Indiana"	147	2	0.0136054421768707	2	1	0	0	65	58	38	51	43	78	47
"White County, Indiana"	66	0	0	0	NA	0	NA	60	61	37	47	41	55	44
"Whitley County, Indiana"	86	0	0	0	NA	0	NA	44	45	41	48	44	83	51
"Adair County, Iowa"	24	0	0	0	NA	0	NA	89	61	38	55	39	59	44
"Adams County, Iowa"	8	0	0	0	NA	0	NA	84	56	35	78	32	62	54
"Allamakee County, Iowa"	69	0	0	0	NA	0	NA	80	52	38	53	45	70	41
"Appanoose County, Iowa"	31	0	0	0	NA	0	NA	65	61	37	64	34	46	41
"Audubon County, Iowa"	13	3	0.230769230769231	3	1	0	0	60	61	51	58	37	39	44
"Benton County, Iowa"	44	0	0	0	NA	0	NA	73	36	33	48	44	84	39
"Black Hawk County, Iowa"	2265	13	0.00573951434878587	12	0.923076923076923	5	0.384615384615385	71	61	47	57	47	73	67
"Boone County, Iowa"	136	0	0	0	NA	0	NA	76	52	45	54	45	62	47
"Bremer County, Iowa"	135	21	0.155555555555556	21	1	0	0	79	80	55	52	48	72	51
"Buchanan County, Iowa"	112	0	0	0	NA	0	NA	75	59	40	47	42	57	49
"Buena Vista County, Iowa"	1270	39	0.0307086614173228	18	0.461538461538462	1	0.0256410256410256	73	59	39	60	43	64	51
"Butler County, Iowa"	62	17	0.274193548387097	0	0	17	1	54	58	53	48	44	52	43
"Calhoun County, Iowa"	21	4	0.19047619047619	4	1	0	0	79	48	41	62	43	53	51
"Carroll County, Iowa"	27	10	0.37037037037037	9	0.9	10	1	70	51	55	60	47	81	48
"Cass County, Iowa"	53	0	0	0	NA	0	NA	72	61	49	59	41	59	46
"Cedar County, Iowa"	94	3	0.0319148936170213	0	0	3	1	71	58	40	48	47	70	45
"Cerro Gordo County, Iowa"	530	46	0.0867924528301887	26	0.565217391304348	0	0	78	45	54	61	46	67	52
"Cherokee County, Iowa"	31	0	0	0	NA	0	NA	71	60	31	60	41	55	43
"Chickasaw County, Iowa"	52	0	0	0	NA	0	NA	72	60	30	45	48	59	46
"Clarke County, Iowa"	21	0	0	0	NA	0	NA	47	60	49	62	40	59	47
"Clay County, Iowa"	118	9	0.076271186440678	9	1	34	3.77777777777778	92	58	54	62	44	60	48
"Clayton County, Iowa"	32	3	0.09375	0	0	0	0	87	60	39	51	40	62	39
"Clinton County, Iowa"	318	0	0	0	NA	0	NA	74	55	42	54	42	64	50
"Crawford County, Iowa"	51	4	0.0784313725490196	0	0	4	1	54	59	48	54	46	62	48
"Dallas County, Iowa"	2213	76	0.0343425214640759	16	0.210526315789474	0	0	67	29	57	52	47	89	40
"Davis County, Iowa"	37	0	0	0	NA	0	NA	47	44	40	55	35	39	43
"Decatur County, Iowa"	62	0	0	0	NA	0	NA	40	61	36	53	41	47	43
"Delaware County, Iowa"	10	0	0	0	NA	0	NA	71	64	24	57	42	74	44
"Des Moines County, Iowa"	140	0	0	0	NA	0	NA	75	43	43	62	42	66	55
"Dickinson County, Iowa"	46	0	0	0	NA	0	NA	93	59	55	56	43	59	54
"Dubuque County, Iowa"	1287	17	0.0132090132090132	17	1	0	0	67	42	46	53	47	81	55
"Emmet County, Iowa"	11	0	0	0	NA	0	NA	78	46	47	53	43	47	55
"Fayette County, Iowa"	121	1	0.00826446280991736	1	1	1	1	70	60	26	53	43	63	49
"Floyd County, Iowa"	88	26	0.295454545454545	0	0	26	1	81	60	51	62	45	53	48
"Franklin County, Iowa"	22	0	0	0	NA	0	NA	74	59	39	60	47	61	47
"Fremont County, Iowa"	0	0	NA	0	NA	0	NA	43	59	34	58	41	43	41
"Greene County, Iowa"	36	0	0	0	NA	0	NA	80	42	34	53	40	49	46
"Grundy County, Iowa"	37	4	0.108108108108108	4	1	0	0	79	61	47	44	45	55	37
"Guthrie County, Iowa"	7	0	0	0	NA	0	NA	58	58	37	53	39	77	49
"Hamilton County, Iowa"	315	0	0	0	NA	0	NA	68	60	42	56	42	58	44
"Hancock County, Iowa"	33	2	0.0606060606060606	0	0	0	0	66	45	36	54	40	90	50
"Hardin County, Iowa"	148	0	0	0	NA	0	NA	77	51	37	51	41	67	46
"Harrison County, Iowa"	44	3	0.0681818181818182	0	0	3	1	75	74	47	54	42	78	41
"Henry County, Iowa"	450	0	0	0	NA	0	NA	74	48	48	60	42	68	42
"Howard County, Iowa"	25	0	0	0	NA	0	NA	76	60	33	54	40	67	49
"Humboldt County, Iowa"	26	0	0	0	NA	0	NA	83	46	39	56	44	69	51
"Ida County, Iowa"	21	0	0	0	NA	0	NA	82	58	31	67	39	76	49
"Iowa County, Iowa"	34	0	0	0	NA	0	NA	89	55	49	48	44	90	45
"Jackson County, Iowa"	66	4	0.0606060606060606	0	0	0	0	74	61	35	57	43	52	44
"Jasper County, Iowa"	174	0	0	4	Inf	11	Inf	73	56	42	57	44	62	43
"Jefferson County, Iowa"	1512	0	0	0	NA	0	NA	83	60	51	57	40	49	43
"Johnson County, Iowa"	7855	53	0.00674729471674093	0	0	17	0.320754716981132	61	61	67	56	51	59	59
"Jones County, Iowa"	90	0	0	0	NA	0	NA	67	38	41	53	43	82	40
"Keokuk County, Iowa"	20	0	0	0	NA	0	NA	53	61	39	53	42	45	48
"Kossuth County, Iowa"	57	24	0.421052631578947	16	0.666666666666667	0	0	83	48	32	55	40	61	54
"Lee County, Iowa"	187	0	0	0	NA	0	NA	69	72	41	61	44	67	48
"Linn County, Iowa"	4157	176	0.0423382246812605	32	0.181818181818182	101	0.573863636363636	77	67	48	55	48	75	67
"Louisa County, Iowa"	206	6	0.029126213592233	0	0	3	0.5	60	58	38	49	41	57	40
"Lucas County, Iowa"	13	0	0	0	NA	0	NA	72	61	38	63	37	60	45
"Lyon County, Iowa"	29	6	0.206896551724138	0	0	0	0	85	61	46	54	45	75	59
"Madison County, Iowa"	96	0	0	0	NA	0	NA	81	61	46	51	44	85	46
"Mahaska County, Iowa"	164	0	0	0	NA	0	NA	91	60	50	60	41	57	46
"Marion County, Iowa"	409	0	0	0	NA	0	NA	78	39	56	53	46	86	50
"Marshall County, Iowa"	1003	0	0	0	NA	131	Inf	62	58	42	55	43	68	48
"Mills County, Iowa"	15	0	0	0	NA	0	NA	42	27	48	51	38	83	38
"Mitchell County, Iowa"	29	10	0.344827586206897	0	0	10	1	82	59	48	52	44	70	51
"Monona County, Iowa"	8	0	0	0	NA	0	NA	50	60	47	59	36	50	44
"Monroe County, Iowa"	13	0	0	0	NA	0	NA	49	58	29	55	40	69	47
"Montgomery County, Iowa"	3	0	0	0	NA	0	NA	83	80	46	65	45	59	45
"Muscatine County, Iowa"	495	8	0.0161616161616162	0	0	8	1	72	44	45	58	45	73	52
"O'Brien County, Iowa"	106	0	0	0	NA	0	NA	81	43	48	57	50	55	49
"Osceola County, Iowa"	22	0	0	0	NA	0	NA	82	59	47	53	44	70	46
"Page County, Iowa"	180	0	0	0	NA	0	NA	82	44	38	65	44	54	52
"Palo Alto County, Iowa"	53	0	0	0	NA	0	NA	76	76	30	63	44	55	45
"Plymouth County, Iowa"	82	0	0	0	NA	0	NA	80	52	43	53	43	82	59
"Pocahontas County, Iowa"	4	0	0	0	NA	0	NA	83	48	34	53	39	55	55
"Polk County, Iowa"	17234	937	0.0543692700475804	402	0.429028815368196	391	0.417289220917823	68	56	56	67	50	72	45
"Pottawattamie County, Iowa"	598	0	0	0	NA	0	NA	58	73	45	62	45	66	59
"Poweshiek County, Iowa"	396	17	0.0429292929292929	0	0	0	0	64	44	47	60	41	70	48
"Ringgold County, Iowa"	31	0	0	0	NA	0	NA	55	61	37	53	40	53	53
"Sac County, Iowa"	19	0	0	0	NA	0	NA	60	43	29	56	41	47	48
"Scott County, Iowa"	3641	108	0.0296621807195825	17	0.157407407407407	87	0.805555555555556	62	59	48	59	46	61	54
"Shelby County, Iowa"	55	0	0	0	NA	0	NA	97	61	39	54	45	70	45
"Sioux County, Iowa"	271	0	0	0	NA	0	NA	86	59	60	53	50	83	49
"Story County, Iowa"	5707	6	0.00105134045908533	17	2.83333333333333	3	0.5	69	78	59	55	47	57	52
"Tama County, Iowa"	50	0	0	0	NA	0	NA	66	81	45	51	41	53	46
"Taylor County, Iowa"	21	0	0	0	NA	0	NA	55	59	36	58	40	48	56
"Union County, Iowa"	18	0	0	0	NA	0	NA	60	59	51	62	42	73	53
"Van Buren County, Iowa"	10	0	0	0	NA	0	NA	41	76	20	57	30	59	39
"Wapello County, Iowa"	329	0	0	0	NA	0	NA	66	59	34	58	43	57	53
"Warren County, Iowa"	190	4	0.0210526315789474	4	1	0	0	72	81	51	61	46	90	38
"Washington County, Iowa"	99	6	0.0606060606060606	7	1.16666666666667	6	1	81	60	44	52	44	76	44
"Wayne County, Iowa"	23	0	0	0	NA	0	NA	81	61	17	61	37	39	53
"Webster County, Iowa"	308	0	0	0	NA	0	NA	61	50	46	62	41	60	49
"Winnebago County, Iowa"	67	0	0	0	NA	0	NA	74	61	54	58	47	65	53
"Winneshiek County, Iowa"	207	0	0	0	NA	0	NA	75	60	61	46	42	75	49
"Woodbury County, Iowa"	2596	24	0.00924499229583975	8	0.333333333333333	0	0	69	77	51	59	46	65	69
"Worth County, Iowa"	14	0	0	0	NA	0	NA	79	60	51	54	36	58	35
"Wright County, Iowa"	64	4	0.0625	4	1	0	0	78	50	41	63	48	62	53
"Allen County, Kansas"	72	0	0	0	NA	0	NA	64	59	27	63	37	70	43
"Anderson County, Kansas"	0	0	NA	0	NA	0	NA	35	16	36	54	35	53	50
"Atchison County, Kansas"	39	0	0	0	NA	0	NA	69	17	37	66	38	57	47
"Barber County, Kansas"	12	0	0	0	NA	0	NA	90	61	8	64	33	55	42
"Barton County, Kansas"	48	0	0	0	NA	0	NA	57	59	24	59	36	55	57
"Bourbon County, Kansas"	114	0	0	0	NA	0	NA	56	61	37	63	33	63	42
"Brown County, Kansas"	56	4	0.0714285714285714	0	0	4	1	68	68	17	65	40	67	49
"Butler County, Kansas"	630	0	0	0	NA	0	NA	51	46	52	60	43	70	41
"Chase County, Kansas"	0	0	NA	0	NA	0	NA	85	80	35	55	44	48	40
"Chautauqua County, Kansas"	0	0	NA	0	NA	0	NA	68	61	22	50	35	39	44
"Cherokee County, Kansas"	51	0	0	0	NA	0	NA	62	40	15	56	37	50	45
"Cheyenne County, Kansas"	31	1	0.032258064516129	0	0	0	0	90	25	6	60	37	39	46
"Clark County, Kansas"	13	0	0	0	NA	0	NA	92	47	25	57	20	35	53
"Clay County, Kansas"	50	0	0	0	NA	0	NA	90	61	25	60	39	56	50
"Cloud County, Kansas"	80	0	0	0	NA	0	NA	85	50	9	56	41	55	52
"Coffey County, Kansas"	42	0	0	0	NA	0	NA	61	61	32	49	34	71	49
"Comanche County, Kansas"	6	0	0	0	NA	0	NA	58	61	21	59	33	52	37
"Cowley County, Kansas"	640	0	0	0	NA	0	NA	52	48	37	59	36	56	51
"Crawford County, Kansas"	581	12	0.0206540447504303	0	0	0	0	45	61	34	57	37	54	55
"Decatur County, Kansas"	0	0	NA	0	NA	0	NA	90	22	15	67	41	32	41
"Dickinson County, Kansas"	70	0	0	0	NA	0	NA	78	40	29	57	39	59	43
"Doniphan County, Kansas"	29	0	0	0	NA	0	NA	38	39	24	54	35	70	35
"Douglas County, Kansas"	4768	26	0.00545302013422819	56	2.15384615384615	11	0.423076923076923	49	53	62	53	47	42	54
"Edwards County, Kansas"	17	0	0	0	NA	0	NA	73	61	22	65	38	55	65
"Elk County, Kansas"	34	0	0	0	NA	0	NA	41	41	19	62	30	39	61
"Ellis County, Kansas"	390	21	0.0538461538461538	1	0.0476190476190476	33	1.57142857142857	68	53	45	61	44	59	53
"Ellsworth County, Kansas"	6	0	0	0	NA	0	NA	76	49	29	62	32	73	46
"Finney County, Kansas"	1364	32	0.0234604105571848	32	1	0	0	35	45	43	51	40	59	47
"Ford County, Kansas"	454	0	0	0	NA	0	NA	48	70	32	57	42	72	48
"Franklin County, Kansas"	106	0	0	0	NA	0	NA	53	61	33	56	40	54	42
"Geary County, Kansas"	1072	24	0.0223880597014925	7	0.291666666666667	11	0.458333333333333	40	51	38	54	43	49	49
"Gove County, Kansas"	2	0	0	0	NA	0	NA	56	56	11	54	31	44	30
"Graham County, Kansas"	19	0	0	0	NA	0	NA	50	45	11	64	35	45	66
"Grant County, Kansas"	0	0	NA	0	NA	0	NA	64	18	31	51	46	54	46
"Gray County, Kansas"	7	0	0	0	NA	0	NA	76	61	27	38	39	72	40
"Greeley County, Kansas"	2	0	0	0	NA	0	NA	59	61	37	43	37	55	65
"Greenwood County, Kansas"	2	0	0	0	NA	0	NA	62	47	16	57	34	42	52
"Hamilton County, Kansas"	0	0	NA	0	NA	0	NA	41	61	16	50	21	71	57
"Harper County, Kansas"	3	0	0	0	NA	0	NA	73	45	12	60	43	44	44
"Harvey County, Kansas"	240	0	0	0	NA	0	NA	57	56	51	61	45	68	44
"Haskell County, Kansas"	45	0	0	0	NA	0	NA	68	51	18	50	47	68	35
"Hodgeman County, Kansas"	0	0	NA	0	NA	0	NA	98	61	30	58	21	43	39
"Jackson County, Kansas"	67	0	0	0	NA	0	NA	34	61	31	54	36	64	38
"Jefferson County, Kansas"	4	0	0	0	NA	0	NA	37	42	42	41	32	60	41
"Jewell County, Kansas"	17	0	0	0	NA	0	NA	90	61	20	65	35	49	46
"Johnson County, Kansas"	24266	239	0.00984917168054067	48	0.200836820083682	53	0.221757322175732	58	56	68	52	55	65	52
"Kearny County, Kansas"	0	0	NA	0	NA	0	NA	39	61	14	47	40	60	49
"Kingman County, Kansas"	0	0	NA	0	NA	0	NA	43	43	37	49	35	64	43
"Kiowa County, Kansas"	16	0	0	0	NA	0	NA	74	30	30	65	33	67	39
"Labette County, Kansas"	69	12	0.173913043478261	0	0	0	0	55	43	23	64	36	65	52
"Lane County, Kansas"	0	0	NA	0	NA	0	NA	100	61	37	67	19	48	51
"Leavenworth County, Kansas"	1219	15	0.0123051681706317	0	0	15	1	35	63	44	58	44	68	48
"Lincoln County, Kansas"	24	0	0	0	NA	0	NA	91	44	14	69	29	45	55
"Linn County, Kansas"	24	0	0	0	NA	0	NA	35	45	34	51	28	58	43
"Logan County, Kansas"	71	0	0	0	NA	0	NA	88	61	26	61	33	65	46
"Lyon County, Kansas"	718	0	0	0	NA	0	NA	54	61	38	56	39	51	50
"McPherson County, Kansas"	249	11	0.0441767068273092	11	1	0	0	69	56	46	58	42	73	44
"Marion County, Kansas"	37	0	0	8	Inf	0	NA	51	60	31	57	36	54	48
"Marshall County, Kansas"	50	0	0	0	NA	0	NA	80	60	20	60	40	63	52
"Meade County, Kansas"	48	0	0	0	NA	0	NA	77	60	31	55	40	72	46
"Miami County, Kansas"	74	0	0	0	NA	0	NA	54	59	42	58	42	67	37
"Mitchell County, Kansas"	44	0	0	0	NA	0	NA	81	28	16	67	37	74	51
"Montgomery County, Kansas"	270	0	0	0	NA	6	Inf	59	70	34	64	38	53	48
"Morris County, Kansas"	26	0	0	0	NA	0	NA	79	30	38	54	33	46	53
"Morton County, Kansas"	31	0	0	0	NA	0	NA	89	61	30	49	42	61	53
"Nemaha County, Kansas"	17	0	0	0	NA	0	NA	63	61	28	63	40	72	51
"Neosho County, Kansas"	12	3	0.25	8	2.66666666666667	0	0	68	66	30	65	36	65	46
"Ness County, Kansas"	0	0	NA	0	NA	0	NA	83	61	26	63	32	41	57
"Norton County, Kansas"	37	0	0	0	NA	0	NA	82	51	7	55	40	73	49
"Osage County, Kansas"	59	0	0	0	NA	0	NA	50	60	34	54	40	56	34
"Osborne County, Kansas"	36	11	0.305555555555556	8	0.727272727272727	0	0	35	60	19	69	36	35	62
"Ottawa County, Kansas"	0	0	NA	0	NA	0	NA	75	61	30	57	34	44	44
"Pawnee County, Kansas"	0	0	NA	0	NA	0	NA	61	61	25	56	34	64	48
"Phillips County, Kansas"	18	0	0	0	NA	0	NA	85	43	11	62	33	60	56
"Pottawatomie County, Kansas"	184	49	0.266304347826087	0	0	0	0	50	58	52	46	40	78	64
"Pratt County, Kansas"	5	0	0	0	NA	0	NA	61	61	40	55	36	55	51
"Rawlins County, Kansas"	2	0	0	0	NA	0	NA	97	61	11	60	32	35	58
"Reno County, Kansas"	367	18	0.0490463215258856	0	0	7	0.388888888888889	55	47	41	55	37	61	54
"Republic County, Kansas"	29	0	0	0	NA	0	NA	98	61	30	58	35	52	48
"Rice County, Kansas"	40	0	0	0	NA	0	NA	60	48	25	61	43	59	54
"Riley County, Kansas"	3423	84	0.0245398773006135	0	0	64	0.761904761904762	38	61	57	54	46	46	72
"Rooks County, Kansas"	49	45	0.918367346938776	7	0.155555555555556	0	0	48	61	40	58	43	54	47
"Rush County, Kansas"	0	0	NA	0	NA	0	NA	79	45	19	58	35	49	47
"Russell County, Kansas"	0	0	NA	0	NA	0	NA	95	40	21	61	39	44	48
"Saline County, Kansas"	1344	0	0	14	Inf	0	NA	60	51	53	55	44	65	63
"Scott County, Kansas"	20	0	0	0	NA	0	NA	70	19	27	39	46	82	51
"Sedgwick County, Kansas"	20633	505	0.0244753550138128	70	0.138613861386139	209	0.413861386138614	47	45	53	62	46	55	46
"Seward County, Kansas"	658	16	0.0243161094224924	16	1	0	0	41	61	40	54	46	79	52
"Shawnee County, Kansas"	2036	31	0.0152259332023576	11	0.354838709677419	0	0	41	65	47	60	45	68	54
"Sheridan County, Kansas"	0	0	NA	0	NA	0	NA	96	61	15	59	36	39	43
"Sherman County, Kansas"	21	0	0	0	NA	0	NA	69	79	14	62	48	54	51
"Smith County, Kansas"	7	0	0	0	NA	0	NA	95	40	18	66	32	45	58
"Stafford County, Kansas"	11	1	0.0909090909090909	0	0	0	0	79	33	22	58	35	46	39
"Stanton County, Kansas"	15	0	0	0	NA	0	NA	44	61	46	52	42	73	71
"Stevens County, Kansas"	28	0	0	0	NA	0	NA	74	61	19	37	46	57	43
"Sumner County, Kansas"	44	0	0	0	NA	0	NA	50	38	43	57	39	69	42
"Thomas County, Kansas"	10	5	0.5	0	0	5	1	68	47	39	64	35	46	45
"Trego County, Kansas"	8	0	0	0	NA	0	NA	94	72	28	66	37	64	47
"Wabaunsee County, Kansas"	11	0	0	0	NA	0	NA	69	60	37	42	32	54	31
"Wallace County, Kansas"	3	0	0	1	Inf	0	NA	100	61	35	53	38	31	65
"Washington County, Kansas"	13	2	0.153846153846154	0	0	0	0	57	51	13	72	36	51	51
"Wichita County, Kansas"	4	0	0	0	NA	0	NA	56	18	15	53	39	74	68
"Wilson County, Kansas"	63	0	0	0	NA	0	NA	61	43	29	56	37	76	43
"Woodson County, Kansas"	8	0	0	0	NA	0	NA	44	61	31	44	33	26	49
"Wyandotte County, Kansas"	4934	285	0.05776246453182	7	0.0245614035087719	85	0.298245614035088	48	63	35	74	49	53	51
"Adair County, Kentucky"	48	0	0	0	NA	0	NA	22	61	30	60	37	34	34
"Allen County, Kentucky"	33	0	0	0	NA	0	NA	20	61	14	53	36	55	40
"Anderson County, Kentucky"	54	0	0	0	NA	0	NA	40	59	35	41	43	83	40
"Ballard County, Kentucky"	53	3	0.0566037735849057	0	0	3	1	43	35	24	52	31	67	42
"Barren County, Kentucky"	218	0	0	0	NA	0	NA	48	55	21	58	38	51	37
"Bath County, Kentucky"	0	0	NA	0	NA	0	NA	20	60	26	58	37	45	30
"Bell County, Kentucky"	171	0	0	0	NA	0	NA	41	75	23	78	32	43	44
"Boone County, Kentucky"	2901	55	0.0189589796621855	10	0.181818181818182	0	0	39	62	43	51	47	65	48
"Bourbon County, Kentucky"	10	0	0	0	NA	0	NA	50	19	31	60	42	58	41
"Boyd County, Kentucky"	208	0	0	0	NA	0	NA	54	67	28	64	40	47	51
"Boyle County, Kentucky"	236	1	0.00423728813559322	0	0	1	1	58	44	36	57	39	70	44
"Bracken County, Kentucky"	0	0	NA	0	NA	0	NA	37	60	24	56	31	65	35
"Breathitt County, Kentucky"	53	0	0	0	NA	0	NA	34	60	14	61	35	37	35
"Breckinridge County, Kentucky"	26	0	0	0	NA	0	NA	47	60	5	57	34	43	36
"Bullitt County, Kentucky"	331	0	0	25	Inf	20	Inf	21	67	36	49	45	71	38
"Butler County, Kentucky"	0	0	NA	0	NA	0	NA	37	56	14	66	35	49	30
"Caldwell County, Kentucky"	5	0	0	0	NA	0	NA	62	34	18	58	32	44	42
"Calloway County, Kentucky"	800	0	0	0	NA	0	NA	52	58	41	56	34	50	43
"Campbell County, Kentucky"	669	15	0.0224215246636771	16	1.06666666666667	0	0	48	37	40	61	54	62	55
"Carlisle County, Kentucky"	4	0	0	0	NA	0	NA	40	60	17	57	35	38	36
"Carroll County, Kentucky"	119	0	0	0	NA	0	NA	32	49	8	63	44	68	33
"Carter County, Kentucky"	64	0	0	0	NA	0	NA	19	74	25	59	37	36	34
"Casey County, Kentucky"	48	8	0.166666666666667	0	0	0	0	22	39	27	55	31	37	41
"Christian County, Kentucky"	1096	43	0.0392335766423358	0	0	30	0.697674418604651	41	71	20	55	38	53	37
"Clark County, Kentucky"	198	0	0	0	NA	0	NA	46	53	35	60	40	59	42
"Clay County, Kentucky"	11	11	1	0	0	0	0	22	60	19	57	36	22	31
"Clinton County, Kentucky"	20	0	0	0	NA	0	NA	19	60	29	69	36	50	34
"Crittenden County, Kentucky"	3	0	0	0	NA	0	NA	69	61	8	51	33	30	38
"Cumberland County, Kentucky"	0	0	NA	0	NA	0	NA	26	60	0	70	28	35	34
"Daviess County, Kentucky"	791	83	0.104930467762326	11	0.132530120481928	31	0.373493975903614	55	57	44	59	43	69	63
"Edmonson County, Kentucky"	14	0	0	0	NA	0	NA	9	68	16	48	34	56	40
"Elliott County, Kentucky"	4	0	0	0	NA	0	NA	9	60	17	59	34	23	37
"Estill County, Kentucky"	0	0	NA	0	NA	0	NA	47	34	31	63	33	26	40
"Fayette County, Kentucky"	10662	370	0.0347026824235603	112	0.302702702702703	176	0.475675675675676	55	51	60	54	55	47	63
"Fleming County, Kentucky"	6	0	0	0	NA	0	NA	30	36	29	54	33	30	39
"Floyd County, Kentucky"	72	0	0	0	NA	0	NA	40	48	18	62	37	45	37
"Franklin County, Kentucky"	711	12	0.0168776371308017	0	0	12	1	64	74	37	58	43	65	48
"Fulton County, Kentucky"	11	0	0	0	NA	0	NA	32	56	27	79	41	38	43
"Gallatin County, Kentucky"	92	43	0.467391304347826	0	0	0	0	6	47	20	54	36	60	17
"Garrard County, Kentucky"	5	0	0	0	NA	0	NA	30	60	31	49	37	31	39
"Grant County, Kentucky"	17	0	0	0	NA	0	NA	29	51	35	51	39	66	30
"Graves County, Kentucky"	112	0	0	0	NA	0	NA	50	61	26	60	37	39	39
"Grayson County, Kentucky"	91	0	0	0	NA	0	NA	37	61	26	61	32	42	39
"Green County, Kentucky"	56	0	0	0	NA	0	NA	59	61	29	61	37	28	41
"Greenup County, Kentucky"	142	0	0	0	NA	0	NA	32	68	25	52	43	53	45
"Hancock County, Kentucky"	0	0	NA	0	NA	0	NA	45	48	30	57	37	84	33
"Hardin County, Kentucky"	2349	37	0.0157513835674755	41	1.10810810810811	14	0.378378378378378	44	67	35	51	41	52	40
"Harlan County, Kentucky"	108	0	0	9	Inf	0	NA	29	47	12	70	35	42	36
"Harrison County, Kentucky"	24	0	0	0	NA	0	NA	33	60	37	64	34	37	42
"Hart County, Kentucky"	30	0	0	0	NA	0	NA	52	57	20	60	36	42	30
"Henderson County, Kentucky"	153	23	0.150326797385621	16	0.695652173913043	7	0.304347826086957	42	58	32	64	42	58	53
