county,engagement,environment,health,housing,neighborhood,opportunity,transportation
Williamson+County+Illinois,Williamson+County+Illinois,56,55,29,60,42,57,61
Winnebago+County+Illinois,Winnebago+County+Illinois,37,58,48,64,46,49,58
Woodford+County+Illinois,Woodford+County+Illinois,66,58,43,63,46,68,43
Adams+County+Indiana,Adams+County+Indiana,37,53,33,54,48,67,47
Allen+County+Indiana,Allen+County+Indiana,53,56,48,51,51,65,68
Bartholomew+County+Indiana,Bartholomew+County+Indiana,42,53,47,55,40,74,46
Benton+County+Indiana,Benton+County+Indiana,35,62,31,50,49,84,36
Blackford+County+Indiana,Blackford+County+Indiana,34,62,27,63,40,52,46
Boone+County+Indiana,Boone+County+Indiana,45,63,51,36,50,65,37
Brown+County+Indiana,Brown+County+Indiana,52,61,42,33,34,70,37
Carroll+County+Indiana,Carroll+County+Indiana,39,76,38,45,40,76,39
Cass+County+Indiana,Cass+County+Indiana,45,61,30,58,39,52,47
Clark+County+Indiana,Clark+County+Indiana,47,60,40,57,46,71,45
Clay+County+Indiana,Clay+County+Indiana,56,60,27,53,41,55,58
Clinton+County+Indiana,Clinton+County+Indiana,37,61,39,50,41,60,46
Crawford+County+Indiana,Crawford+County+Indiana,29,61,34,59,35,40,33
Daviess+County+Indiana,Daviess+County+Indiana,40,63,28,61,38,63,42
Dearborn+County+Indiana,Dearborn+County+Indiana,48,55,36,53,44,71,40
Decatur+County+Indiana,Decatur+County+Indiana,58,43,42,57,42,89,37
DeKalb+County+Indiana,DeKalb+County+Indiana,52,43,40,50,55,78,52
Delaware+County+Indiana,Delaware+County+Indiana,50,67,33,57,43,48,49
Dubois+County+Indiana,Dubois+County+Indiana,48,56,52,54,45,90,46
Elkhart+County+Indiana,Elkhart+County+Indiana,47,60,38,51,46,76,41
Fayette+County+Indiana,Fayette+County+Indiana,56,60,28,55,39,45,51
Floyd+County+Indiana,Floyd+County+Indiana,47,60,46,58,46,70,43
Fountain+County+Indiana,Fountain+County+Indiana,58,63,30,46,44,55,39
Franklin+County+Indiana,Franklin+County+Indiana,35,58,34,51,39,43,37
Fulton+County+Indiana,Fulton+County+Indiana,64,53,37,48,41,53,43
Gibson+County+Indiana,Gibson+County+Indiana,56,59,39,57,43,82,42
Grant+County+Indiana,Grant+County+Indiana,49,59,30,61,40,57,52
Greene+County+Indiana,Greene+County+Indiana,46,66,19,57,40,38,41
Hamilton+County+Indiana,Hamilton+County+Indiana,44,64,60,41,52,73,43
Hancock+County+Indiana,Hancock+County+Indiana,42,79,47,45,48,83,41
Harrison+County+Indiana,Harrison+County+Indiana,50,59,36,48,38,78,33
Hendricks+County+Indiana,Hendricks+County+Indiana,35,66,48,36,49,87,40
Henry+County+Indiana,Henry+County+Indiana,59,79,32,55,38,40,46
Howard+County+Indiana,Howard+County+Indiana,60,75,41,60,42,67,66
Huntington+County+Indiana,Huntington+County+Indiana,68,78,31,55,46,58,43
Jackson+County+Indiana,Jackson+County+Indiana,53,74,41,54,40,76,42
Jasper+County+Indiana,Jasper+County+Indiana,46,74,34,47,42,78,36
Jay+County+Indiana,Jay+County+Indiana,68,59,26,53,43,64,45
Jefferson+County+Indiana,Jefferson+County+Indiana,59,56,34,56,46,61,44
Jennings+County+Indiana,Jennings+County+Indiana,36,54,37,49,35,50,40
Johnson+County+Indiana,Johnson+County+Indiana,30,75,46,51,46,73,43
Knox+County+Indiana,Knox+County+Indiana,49,67,34,62,41,64,49
Kosciusko+County+Indiana,Kosciusko+County+Indiana,54,42,40,48,40,69,44
LaGrange+County+Indiana,LaGrange+County+Indiana,27,62,31,42,40,51,40
Lake+County+Indiana,Lake+County+Indiana,42,52,37,44,48,59,39
LaPorte+County+Indiana,LaPorte+County+Indiana,44,39,36,59,50,58,67
Lawrence+County+Indiana,Lawrence+County+Indiana,51,57,33,52,40,45,43
Madison+County+Indiana,Madison+County+Indiana,50,74,28,56,42,64,45
Marion+County+Indiana,Marion+County+Indiana,40,60,45,62,49,57,52
Marshall+County+Indiana,Marshall+County+Indiana,49,61,43,52,45,61,40
Martin+County+Indiana,Martin+County+Indiana,38,33,41,57,36,46,43
Miami+County+Indiana,Miami+County+Indiana,50,55,25,54,40,48,56
Monroe+County+Indiana,Monroe+County+Indiana,49,80,56,59,45,40,68
Montgomery+County+Indiana,Montgomery+County+Indiana,51,57,32,57,38,69,43
Morgan+County+Indiana,Morgan+County+Indiana,25,42,31,52,43,75,38
Newton+County+Indiana,Newton+County+Indiana,30,61,23,45,35,58,27
Noble+County+Indiana,Noble+County+Indiana,39,53,32,55,45,65,43
Ohio+County+Indiana,Ohio+County+Indiana,58,61,35,59,45,82,40
Orange+County+Indiana,Orange+County+Indiana,47,61,34,57,44,67,41
Owen+County+Indiana,Owen+County+Indiana,35,62,30,51,41,63,40
Parke+County+Indiana,Parke+County+Indiana,43,49,32,50,36,42,37
Perry+County+Indiana,Perry+County+Indiana,48,66,28,62,40,59,47
Pike+County+Indiana,Pike+County+Indiana,37,54,34,56,43,62,44
Porter+County+Indiana,Porter+County+Indiana,43,63,43,34,48,72,35
Posey+County+Indiana,Posey+County+Indiana,37,70,34,49,38,57,58
Pulaski+County+Indiana,Pulaski+County+Indiana,50,62,33,44,35,65,41
Putnam+County+Indiana,Putnam+County+Indiana,26,45,30,50,42,76,42
Randolph+County+Indiana,Randolph+County+Indiana,56,60,29,54,39,44,41
Ripley+County+Indiana,Ripley+County+Indiana,50,44,41,46,38,71,42
Rush+County+Indiana,Rush+County+Indiana,39,62,35,54,34,59,40
St.+Joseph+County+Indiana,St.+Joseph+County+Indiana,48,49,50,56,45,50,47
Scott+County+Indiana,Scott+County+Indiana,46,34,27,56,39,63,38
Shelby+County+Indiana,Shelby+County+Indiana,30,59,39,57,42,81,43
Spencer+County+Indiana,Spencer+County+Indiana,57,79,42,53,44,62,34
Starke+County+Indiana,Starke+County+Indiana,38,59,25,47,35,39,38
Steuben+County+Indiana,Steuben+County+Indiana,44,53,37,52,36,66,39
Sullivan+County+Indiana,Sullivan+County+Indiana,34,59,31,59,41,53,39
Switzerland+County+Indiana,Switzerland+County+Indiana,44,61,26,49,36,42,37
Tippecanoe+County+Indiana,Tippecanoe+County+Indiana,47,60,54,54,50,48,73
Tipton+County+Indiana,Tipton+County+Indiana,62,62,38,45,44,67,61
Union+County+Indiana,Union+County+Indiana,57,60,30,58,48,71,42
Vanderburgh+County+Indiana,Vanderburgh+County+Indiana,63,63,35,62,47,68,65
Vermillion+County+Indiana,Vermillion+County+Indiana,31,46,31,56,39,46,40
Vigo+County+Indiana,Vigo+County+Indiana,50,38,40,58,39,60,61
Wabash+County+Indiana,Wabash+County+Indiana,55,70,36,59,45,69,44
Warren+County+Indiana,Warren+County+Indiana,33,62,27,46,42,51,32
Warrick+County+Indiana,Warrick+County+Indiana,41,66,41,49,46,48,59
Washington+County+Indiana,Washington+County+Indiana,34,82,32,51,41,73,39
Wayne+County+Indiana,Wayne+County+Indiana,64,66,32,59,43,54,52
Wells+County+Indiana,Wells+County+Indiana,65,58,38,51,43,78,47
White+County+Indiana,White+County+Indiana,60,61,37,47,41,55,44
Whitley+County+Indiana,Whitley+County+Indiana,44,45,41,48,44,83,51
Adair+County+Iowa,Adair+County+Iowa,89,61,38,55,39,59,44
Adams+County+Iowa,Adams+County+Iowa,84,56,35,78,32,62,54
Allamakee+County+Iowa,Allamakee+County+Iowa,80,52,38,53,45,70,41
Appanoose+County+Iowa,Appanoose+County+Iowa,65,61,37,64,34,46,41
Audubon+County+Iowa,Audubon+County+Iowa,60,61,51,58,37,39,44
Benton+County+Iowa,Benton+County+Iowa,73,36,33,48,44,84,39
Black+Hawk+County+Iowa,Black+Hawk+County+Iowa,71,61,47,57,47,73,67
Boone+County+Iowa,Boone+County+Iowa,76,52,45,54,45,62,47
Bremer+County+Iowa,Bremer+County+Iowa,79,80,55,52,48,72,51
Buchanan+County+Iowa,Buchanan+County+Iowa,75,59,40,47,42,57,49
Buena+Vista+County+Iowa,Buena+Vista+County+Iowa,73,59,39,60,43,64,51
Butler+County+Iowa,Butler+County+Iowa,54,58,53,48,44,52,43
Calhoun+County+Iowa,Calhoun+County+Iowa,79,48,41,62,43,53,51
Carroll+County+Iowa,Carroll+County+Iowa,70,51,55,60,47,81,48
Cass+County+Iowa,Cass+County+Iowa,72,61,49,59,41,59,46
Cedar+County+Iowa,Cedar+County+Iowa,71,58,40,48,47,70,45
Cerro+Gordo+County+Iowa,Cerro+Gordo+County+Iowa,78,45,54,61,46,67,52
Cherokee+County+Iowa,Cherokee+County+Iowa,71,60,31,60,41,55,43
Chickasaw+County+Iowa,Chickasaw+County+Iowa,72,60,30,45,48,59,46
Clarke+County+Iowa,Clarke+County+Iowa,47,60,49,62,40,59,47
Clay+County+Iowa,Clay+County+Iowa,92,58,54,62,44,60,48
Clayton+County+Iowa,Clayton+County+Iowa,87,60,39,51,40,62,39
Clinton+County+Iowa,Clinton+County+Iowa,74,55,42,54,42,64,50
Crawford+County+Iowa,Crawford+County+Iowa,54,59,48,54,46,62,48
Dallas+County+Iowa,Dallas+County+Iowa,67,29,57,52,47,89,40
Davis+County+Iowa,Davis+County+Iowa,47,44,40,55,35,39,43
Decatur+County+Iowa,Decatur+County+Iowa,40,61,36,53,41,47,43
Delaware+County+Iowa,Delaware+County+Iowa,71,64,24,57,42,74,44
Des+Moines+County+Iowa,Des+Moines+County+Iowa,75,43,43,62,42,66,55
Dickinson+County+Iowa,Dickinson+County+Iowa,93,59,55,56,43,59,54
Dubuque+County+Iowa,Dubuque+County+Iowa,67,42,46,53,47,81,55
Emmet+County+Iowa,Emmet+County+Iowa,78,46,47,53,43,47,55
Fayette+County+Iowa,Fayette+County+Iowa,70,60,26,53,43,63,49
Floyd+County+Iowa,Floyd+County+Iowa,81,60,51,62,45,53,48
Franklin+County+Iowa,Franklin+County+Iowa,74,59,39,60,47,61,47
Fremont+County+Iowa,Fremont+County+Iowa,43,59,34,58,41,43,41
Greene+County+Iowa,Greene+County+Iowa,80,42,34,53,40,49,46
Grundy+County+Iowa,Grundy+County+Iowa,79,61,47,44,45,55,37
Guthrie+County+Iowa,Guthrie+County+Iowa,58,58,37,53,39,77,49
Hamilton+County+Iowa,Hamilton+County+Iowa,68,60,42,56,42,58,44
Hancock+County+Iowa,Hancock+County+Iowa,66,45,36,54,40,90,50
Hardin+County+Iowa,Hardin+County+Iowa,77,51,37,51,41,67,46
Harrison+County+Iowa,Harrison+County+Iowa,75,74,47,54,42,78,41
Henry+County+Iowa,Henry+County+Iowa,74,48,48,60,42,68,42
Howard+County+Iowa,Howard+County+Iowa,76,60,33,54,40,67,49
Humboldt+County+Iowa,Humboldt+County+Iowa,83,46,39,56,44,69,51
Ida+County+Iowa,Ida+County+Iowa,82,58,31,67,39,76,49
Iowa+County+Iowa,Iowa+County+Iowa,89,55,49,48,44,90,45
Jackson+County+Iowa,Jackson+County+Iowa,74,61,35,57,43,52,44
Jasper+County+Iowa,Jasper+County+Iowa,73,56,42,57,44,62,43
Jefferson+County+Iowa,Jefferson+County+Iowa,83,60,51,57,40,49,43
Johnson+County+Iowa,Johnson+County+Iowa,61,61,67,56,51,59,59
Jones+County+Iowa,Jones+County+Iowa,67,38,41,53,43,82,40
Keokuk+County+Iowa,Keokuk+County+Iowa,53,61,39,53,42,45,48
Kossuth+County+Iowa,Kossuth+County+Iowa,83,48,32,55,40,61,54
Lee+County+Iowa,Lee+County+Iowa,69,72,41,61,44,67,48
Linn+County+Iowa,Linn+County+Iowa,77,67,48,55,48,75,67
Louisa+County+Iowa,Louisa+County+Iowa,60,58,38,49,41,57,40
Lucas+County+Iowa,Lucas+County+Iowa,72,61,38,63,37,60,45
Lyon+County+Iowa,Lyon+County+Iowa,85,61,46,54,45,75,59
Madison+County+Iowa,Madison+County+Iowa,81,61,46,51,44,85,46
Mahaska+County+Iowa,Mahaska+County+Iowa,91,60,50,60,41,57,46
Marion+County+Iowa,Marion+County+Iowa,78,39,56,53,46,86,50
Marshall+County+Iowa,Marshall+County+Iowa,62,58,42,55,43,68,48
Mills+County+Iowa,Mills+County+Iowa,42,27,48,51,38,83,38
Mitchell+County+Iowa,Mitchell+County+Iowa,82,59,48,52,44,70,51
Monona+County+Iowa,Monona+County+Iowa,50,60,47,59,36,50,44
Monroe+County+Iowa,Monroe+County+Iowa,49,58,29,55,40,69,47
Montgomery+County+Iowa,Montgomery+County+Iowa,83,80,46,65,45,59,45
Muscatine+County+Iowa,Muscatine+County+Iowa,72,44,45,58,45,73,52
O'Brien+County+Iowa,O'Brien+County+Iowa,81,43,48,57,50,55,49
Osceola+County+Iowa,Osceola+County+Iowa,82,59,47,53,44,70,46
Page+County+Iowa,Page+County+Iowa,82,44,38,65,44,54,52
Palo+Alto+County+Iowa,Palo+Alto+County+Iowa,76,76,30,63,44,55,45
Plymouth+County+Iowa,Plymouth+County+Iowa,80,52,43,53,43,82,59
Pocahontas+County+Iowa,Pocahontas+County+Iowa,83,48,34,53,39,55,55
Polk+County+Iowa,Polk+County+Iowa,68,56,56,67,50,72,45
Pottawattamie+County+Iowa,Pottawattamie+County+Iowa,58,73,45,62,45,66,59
Poweshiek+County+Iowa,Poweshiek+County+Iowa,64,44,47,60,41,70,48
Ringgold+County+Iowa,Ringgold+County+Iowa,55,61,37,53,40,53,53
Sac+County+Iowa,Sac+County+Iowa,60,43,29,56,41,47,48
Scott+County+Iowa,Scott+County+Iowa,62,59,48,59,46,61,54
Shelby+County+Iowa,Shelby+County+Iowa,97,61,39,54,45,70,45
Sioux+County+Iowa,Sioux+County+Iowa,86,59,60,53,50,83,49
Story+County+Iowa,Story+County+Iowa,69,78,59,55,47,57,52
Tama+County+Iowa,Tama+County+Iowa,66,81,45,51,41,53,46
Taylor+County+Iowa,Taylor+County+Iowa,55,59,36,58,40,48,56
Union+County+Iowa,Union+County+Iowa,60,59,51,62,42,73,53
Van+Buren+County+Iowa,Van+Buren+County+Iowa,41,76,20,57,30,59,39
Wapello+County+Iowa,Wapello+County+Iowa,66,59,34,58,43,57,53
Warren+County+Iowa,Warren+County+Iowa,72,81,51,61,46,90,38
Washington+County+Iowa,Washington+County+Iowa,81,60,44,52,44,76,44
Wayne+County+Iowa,Wayne+County+Iowa,81,61,17,61,37,39,53
Webster+County+Iowa,Webster+County+Iowa,61,50,46,62,41,60,49
Winnebago+County+Iowa,Winnebago+County+Iowa,74,61,54,58,47,65,53
Winneshiek+County+Iowa,Winneshiek+County+Iowa,75,60,61,46,42,75,49
Woodbury+County+Iowa,Woodbury+County+Iowa,69,77,51,59,46,65,69
Worth+County+Iowa,Worth+County+Iowa,79,60,51,54,36,58,35
Wright+County+Iowa,Wright+County+Iowa,78,50,41,63,48,62,53
Allen+County+Kansas,Allen+County+Kansas,64,59,27,63,37,70,43
Anderson+County+Kansas,Anderson+County+Kansas,35,16,36,54,35,53,50
Atchison+County+Kansas,Atchison+County+Kansas,69,17,37,66,38,57,47
Barber+County+Kansas,Barber+County+Kansas,90,61,8,64,33,55,42
Barton+County+Kansas,Barton+County+Kansas,57,59,24,59,36,55,57
Bourbon+County+Kansas,Bourbon+County+Kansas,56,61,37,63,33,63,42
Brown+County+Kansas,Brown+County+Kansas,68,68,17,65,40,67,49
Butler+County+Kansas,Butler+County+Kansas,51,46,52,60,43,70,41
Chase+County+Kansas,Chase+County+Kansas,85,80,35,55,44,48,40
Chautauqua+County+Kansas,Chautauqua+County+Kansas,68,61,22,50,35,39,44
Cherokee+County+Kansas,Cherokee+County+Kansas,62,40,15,56,37,50,45
Cheyenne+County+Kansas,Cheyenne+County+Kansas,90,25,6,60,37,39,46
Clark+County+Kansas,Clark+County+Kansas,92,47,25,57,20,35,53
Clay+County+Kansas,Clay+County+Kansas,90,61,25,60,39,56,50
Cloud+County+Kansas,Cloud+County+Kansas,85,50,9,56,41,55,52
Coffey+County+Kansas,Coffey+County+Kansas,61,61,32,49,34,71,49
Comanche+County+Kansas,Comanche+County+Kansas,58,61,21,59,33,52,37
Cowley+County+Kansas,Cowley+County+Kansas,52,48,37,59,36,56,51
Crawford+County+Kansas,Crawford+County+Kansas,45,61,34,57,37,54,55
Decatur+County+Kansas,Decatur+County+Kansas,90,22,15,67,41,32,41
Dickinson+County+Kansas,Dickinson+County+Kansas,78,40,29,57,39,59,43
Doniphan+County+Kansas,Doniphan+County+Kansas,38,39,24,54,35,70,35
Douglas+County+Kansas,Douglas+County+Kansas,49,53,62,53,47,42,54
Edwards+County+Kansas,Edwards+County+Kansas,73,61,22,65,38,55,65
Elk+County+Kansas,Elk+County+Kansas,41,41,19,62,30,39,61
Ellis+County+Kansas,Ellis+County+Kansas,68,53,45,61,44,59,53
Ellsworth+County+Kansas,Ellsworth+County+Kansas,76,49,29,62,32,73,46
Finney+County+Kansas,Finney+County+Kansas,35,45,43,51,40,59,47
Ford+County+Kansas,Ford+County+Kansas,48,70,32,57,42,72,48
Franklin+County+Kansas,Franklin+County+Kansas,53,61,33,56,40,54,42
Geary+County+Kansas,Geary+County+Kansas,40,51,38,54,43,49,49
Gove+County+Kansas,Gove+County+Kansas,56,56,11,54,31,44,30
Graham+County+Kansas,Graham+County+Kansas,50,45,11,64,35,45,66
Grant+County+Kansas,Grant+County+Kansas,64,18,31,51,46,54,46
Gray+County+Kansas,Gray+County+Kansas,76,61,27,38,39,72,40
Greeley+County+Kansas,Greeley+County+Kansas,59,61,37,43,37,55,65
Greenwood+County+Kansas,Greenwood+County+Kansas,62,47,16,57,34,42,52
Hamilton+County+Kansas,Hamilton+County+Kansas,41,61,16,50,21,71,57
Harper+County+Kansas,Harper+County+Kansas,73,45,12,60,43,44,44
Harvey+County+Kansas,Harvey+County+Kansas,57,56,51,61,45,68,44
Haskell+County+Kansas,Haskell+County+Kansas,68,51,18,50,47,68,35
Hodgeman+County+Kansas,Hodgeman+County+Kansas,98,61,30,58,21,43,39
Jackson+County+Kansas,Jackson+County+Kansas,34,61,31,54,36,64,38
Jefferson+County+Kansas,Jefferson+County+Kansas,37,42,42,41,32,60,41
Jewell+County+Kansas,Jewell+County+Kansas,90,61,20,65,35,49,46
Johnson+County+Kansas,Johnson+County+Kansas,58,56,68,52,55,65,52
Kearny+County+Kansas,Kearny+County+Kansas,39,61,14,47,40,60,49
Kingman+County+Kansas,Kingman+County+Kansas,43,43,37,49,35,64,43
Kiowa+County+Kansas,Kiowa+County+Kansas,74,30,30,65,33,67,39
Labette+County+Kansas,Labette+County+Kansas,55,43,23,64,36,65,52
Lane+County+Kansas,Lane+County+Kansas,100,61,37,67,19,48,51
Leavenworth+County+Kansas,Leavenworth+County+Kansas,35,63,44,58,44,68,48
Lincoln+County+Kansas,Lincoln+County+Kansas,91,44,14,69,29,45,55
Linn+County+Kansas,Linn+County+Kansas,35,45,34,51,28,58,43
Logan+County+Kansas,Logan+County+Kansas,88,61,26,61,33,65,46
Lyon+County+Kansas,Lyon+County+Kansas,54,61,38,56,39,51,50
McPherson+County+Kansas,McPherson+County+Kansas,69,56,46,58,42,73,44
Marion+County+Kansas,Marion+County+Kansas,51,60,31,57,36,54,48
Marshall+County+Kansas,Marshall+County+Kansas,80,60,20,60,40,63,52
Meade+County+Kansas,Meade+County+Kansas,77,60,31,55,40,72,46
Miami+County+Kansas,Miami+County+Kansas,54,59,42,58,42,67,37
Mitchell+County+Kansas,Mitchell+County+Kansas,81,28,16,67,37,74,51
Montgomery+County+Kansas,Montgomery+County+Kansas,59,70,34,64,38,53,48
Morris+County+Kansas,Morris+County+Kansas,79,30,38,54,33,46,53
Morton+County+Kansas,Morton+County+Kansas,89,61,30,49,42,61,53
Nemaha+County+Kansas,Nemaha+County+Kansas,63,61,28,63,40,72,51
Neosho+County+Kansas,Neosho+County+Kansas,68,66,30,65,36,65,46
Ness+County+Kansas,Ness+County+Kansas,83,61,26,63,32,41,57
Norton+County+Kansas,Norton+County+Kansas,82,51,7,55,40,73,49
Osage+County+Kansas,Osage+County+Kansas,50,60,34,54,40,56,34
Osborne+County+Kansas,Osborne+County+Kansas,35,60,19,69,36,35,62
Ottawa+County+Kansas,Ottawa+County+Kansas,75,61,30,57,34,44,44
Pawnee+County+Kansas,Pawnee+County+Kansas,61,61,25,56,34,64,48
Phillips+County+Kansas,Phillips+County+Kansas,85,43,11,62,33,60,56
Pottawatomie+County+Kansas,Pottawatomie+County+Kansas,50,58,52,46,40,78,64
Pratt+County+Kansas,Pratt+County+Kansas,61,61,40,55,36,55,51
Rawlins+County+Kansas,Rawlins+County+Kansas,97,61,11,60,32,35,58
Reno+County+Kansas,Reno+County+Kansas,55,47,41,55,37,61,54
Republic+County+Kansas,Republic+County+Kansas,98,61,30,58,35,52,48
Rice+County+Kansas,Rice+County+Kansas,60,48,25,61,43,59,54
Riley+County+Kansas,Riley+County+Kansas,38,61,57,54,46,46,72
Rooks+County+Kansas,Rooks+County+Kansas,48,61,40,58,43,54,47
Rush+County+Kansas,Rush+County+Kansas,79,45,19,58,35,49,47
Russell+County+Kansas,Russell+County+Kansas,95,40,21,61,39,44,48
Saline+County+Kansas,Saline+County+Kansas,60,51,53,55,44,65,63
Scott+County+Kansas,Scott+County+Kansas,70,19,27,39,46,82,51
Sedgwick+County+Kansas,Sedgwick+County+Kansas,47,45,53,62,46,55,46
Seward+County+Kansas,Seward+County+Kansas,41,61,40,54,46,79,52
Shawnee+County+Kansas,Shawnee+County+Kansas,41,65,47,60,45,68,54
Sheridan+County+Kansas,Sheridan+County+Kansas,96,61,15,59,36,39,43
Sherman+County+Kansas,Sherman+County+Kansas,69,79,14,62,48,54,51
Smith+County+Kansas,Smith+County+Kansas,95,40,18,66,32,45,58
Stafford+County+Kansas,Stafford+County+Kansas,79,33,22,58,35,46,39
Stanton+County+Kansas,Stanton+County+Kansas,44,61,46,52,42,73,71
Stevens+County+Kansas,Stevens+County+Kansas,74,61,19,37,46,57,43
Sumner+County+Kansas,Sumner+County+Kansas,50,38,43,57,39,69,42
Thomas+County+Kansas,Thomas+County+Kansas,68,47,39,64,35,46,45
Trego+County+Kansas,Trego+County+Kansas,94,72,28,66,37,64,47
Wabaunsee+County+Kansas,Wabaunsee+County+Kansas,69,60,37,42,32,54,31
Wallace+County+Kansas,Wallace+County+Kansas,100,61,35,53,38,31,65
Washington+County+Kansas,Washington+County+Kansas,57,51,13,72,36,51,51
Wichita+County+Kansas,Wichita+County+Kansas,56,18,15,53,39,74,68
Wilson+County+Kansas,Wilson+County+Kansas,61,43,29,56,37,76,43
Woodson+County+Kansas,Woodson+County+Kansas,44,61,31,44,33,26,49
Wyandotte+County+Kansas,Wyandotte+County+Kansas,48,63,35,74,49,53,51
Adair+County+Kentucky,Adair+County+Kentucky,22,61,30,60,37,34,34
Allen+County+Kentucky,Allen+County+Kentucky,20,61,14,53,36,55,40
Anderson+County+Kentucky,Anderson+County+Kentucky,40,59,35,41,43,83,40
Ballard+County+Kentucky,Ballard+County+Kentucky,43,35,24,52,31,67,42
Barren+County+Kentucky,Barren+County+Kentucky,48,55,21,58,38,51,37
Bath+County+Kentucky,Bath+County+Kentucky,20,60,26,58,37,45,30
Bell+County+Kentucky,Bell+County+Kentucky,41,75,23,78,32,43,44
Boone+County+Kentucky,Boone+County+Kentucky,39,62,43,51,47,65,48
Bourbon+County+Kentucky,Bourbon+County+Kentucky,50,19,31,60,42,58,41
Boyd+County+Kentucky,Boyd+County+Kentucky,54,67,28,64,40,47,51
Boyle+County+Kentucky,Boyle+County+Kentucky,58,44,36,57,39,70,44
Bracken+County+Kentucky,Bracken+County+Kentucky,37,60,24,56,31,65,35
Breathitt+County+Kentucky,Breathitt+County+Kentucky,34,60,14,61,35,37,35
Breckinridge+County+Kentucky,Breckinridge+County+Kentucky,47,60,5,57,34,43,36
Bullitt+County+Kentucky,Bullitt+County+Kentucky,21,67,36,49,45,71,38
Butler+County+Kentucky,Butler+County+Kentucky,37,56,14,66,35,49,30
Caldwell+County+Kentucky,Caldwell+County+Kentucky,62,34,18,58,32,44,42
Calloway+County+Kentucky,Calloway+County+Kentucky,52,58,41,56,34,50,43
Campbell+County+Kentucky,Campbell+County+Kentucky,48,37,40,61,54,62,55
Carlisle+County+Kentucky,Carlisle+County+Kentucky,40,60,17,57,35,38,36
Carroll+County+Kentucky,Carroll+County+Kentucky,32,49,8,63,44,68,33
Carter+County+Kentucky,Carter+County+Kentucky,19,74,25,59,37,36,34
Casey+County+Kentucky,Casey+County+Kentucky,22,39,27,55,31,37,41
Christian+County+Kentucky,Christian+County+Kentucky,41,71,20,55,38,53,37
Clark+County+Kentucky,Clark+County+Kentucky,46,53,35,60,40,59,42
Clay+County+Kentucky,Clay+County+Kentucky,22,60,19,57,36,22,31
Clinton+County+Kentucky,Clinton+County+Kentucky,19,60,29,69,36,50,34
Crittenden+County+Kentucky,Crittenden+County+Kentucky,69,61,8,51,33,30,38
Cumberland+County+Kentucky,Cumberland+County+Kentucky,26,60,0,70,28,35,34
Daviess+County+Kentucky,Daviess+County+Kentucky,55,57,44,59,43,69,63
Edmonson+County+Kentucky,Edmonson+County+Kentucky,9,68,16,48,34,56,40
Elliott+County+Kentucky,Elliott+County+Kentucky,9,60,17,59,34,23,37
Estill+County+Kentucky,Estill+County+Kentucky,47,34,31,63,33,26,40
Fayette+County+Kentucky,Fayette+County+Kentucky,55,51,60,54,55,47,63
Fleming+County+Kentucky,Fleming+County+Kentucky,30,36,29,54,33,30,39
Floyd+County+Kentucky,Floyd+County+Kentucky,40,48,18,62,37,45,37
Franklin+County+Kentucky,Franklin+County+Kentucky,64,74,37,58,43,65,48
Fulton+County+Kentucky,Fulton+County+Kentucky,32,56,27,79,41,38,43
Gallatin+County+Kentucky,Gallatin+County+Kentucky,6,47,20,54,36,60,17
Garrard+County+Kentucky,Garrard+County+Kentucky,30,60,31,49,37,31,39
Grant+County+Kentucky,Grant+County+Kentucky,29,51,35,51,39,66,30
Graves+County+Kentucky,Graves+County+Kentucky,50,61,26,60,37,39,39
Grayson+County+Kentucky,Grayson+County+Kentucky,37,61,26,61,32,42,39
Green+County+Kentucky,Green+County+Kentucky,59,61,29,61,37,28,41
Greenup+County+Kentucky,Greenup+County+Kentucky,32,68,25,52,43,53,45
Hancock+County+Kentucky,Hancock+County+Kentucky,45,48,30,57,37,84,33
Hardin+County+Kentucky,Hardin+County+Kentucky,44,67,35,51,41,52,40
Harlan+County+Kentucky,Harlan+County+Kentucky,29,47,12,70,35,42,36
Harrison+County+Kentucky,Harrison+County+Kentucky,33,60,37,64,34,37,42
Hart+County+Kentucky,Hart+County+Kentucky,52,57,20,60,36,42,30
Henderson+County+Kentucky,Henderson+County+Kentucky,42,58,32,64,42,58,53
Henry+County+Kentucky,Henry+County+Kentucky,23,53,24,55,43,61,36
Hickman+County+Kentucky,Hickman+County+Kentucky,32,60,21,62,30,44,31
Hopkins+County+Kentucky,Hopkins+County+Kentucky,49,39,31,58,41,54,40
Jackson+County+Kentucky,Jackson+County+Kentucky,15,41,22,62,34,24,39
Jefferson+County+Kentucky,Jefferson+County+Kentucky,37,45,44,60,52,45,54
Jessamine+County+Kentucky,Jessamine+County+Kentucky,43,40,46,47,43,47,52
Johnson+County+Kentucky,Johnson+County+Kentucky,34,60,16,64,36,41,40
Kenton+County+Kentucky,Kenton+County+Kentucky,39,75,48,63,52,55,57
Knott+County+Kentucky,Knott+County+Kentucky,17,60,8,58,33,31,33
Knox+County+Kentucky,Knox+County+Kentucky,27,60,4,65,36,38,37
Larue+County+Kentucky,Larue+County+Kentucky,54,59,24,59,37,49,35
Laurel+County+Kentucky,Laurel+County+Kentucky,32,53,29,55,39,59,38
Lawrence+County+Kentucky,Lawrence+County+Kentucky,23,58,12,54,33,35,37
Lee+County+Kentucky,Lee+County+Kentucky,14,22,22,68,37,35,37
